578538 -> 578544
TID,Start,Join,Alloc,Dealloc,Lock,Unlock,Cond Wait,Cond Signal,Cond BC,R1,R2,R4,R8,W1,W2,W4,W8,RW,RR,Stack ACC,Stack Range ACC,Func Call, Ptr PropTotal,size
0,96,96,575,572,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,182333,0,183768, 3681777
1,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,13,0,21, 486
2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,12,0,16, 388
3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,12,0,17, 425
4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,12,0,18, 462
5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,12,0,19, 499
6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,12,0,20, 536
7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,12,0,21, 573
8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,12,0,22, 610
9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,12,0,23, 647
10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,0,0,12,0,24, 684
11,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2,0,0,0,0,0,12,0,25, 721
12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,12,0,26, 758
13,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,2,0,0,0,0,0,12,0,27, 795
14,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0,0,12,0,28, 832
15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2,0,0,0,0,0,12,0,29, 869
16,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,2,0,0,0,0,0,12,0,30, 906
17,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,2,0,0,0,0,0,12,0,31, 943
18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,2,0,0,0,0,0,12,0,32, 980
19,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,2,0,0,0,0,0,12,0,33, 1017
20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,2,0,0,0,0,0,12,0,34, 1054
21,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,2,0,0,0,0,0,12,0,35, 1091
22,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,2,0,0,0,0,0,12,0,36, 1128
23,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,2,0,0,0,0,0,12,0,37, 1165
24,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,2,0,0,0,0,0,12,0,35, 1091
25,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,2,0,0,0,0,0,12,0,38, 1202
26,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,2,0,0,0,0,0,12,0,39, 1239
27,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,2,0,0,0,0,0,12,0,40, 1276
28,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,2,0,0,0,0,0,12,0,41, 1313
29,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,2,0,0,0,0,0,12,0,42, 1350
30,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,2,0,0,0,0,0,12,0,43, 1387
31,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,2,0,0,0,0,0,12,0,44, 1424
32,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,2,0,0,0,0,0,12,0,45, 1461
33,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,2,0,0,0,0,0,12,0,46, 1498
34,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,2,0,0,0,0,0,12,0,47, 1535
35,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,2,0,0,0,0,0,12,0,48, 1572
36,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,2,0,0,0,0,0,12,0,39, 1239
37,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,2,0,0,0,0,0,12,0,49, 1609
38,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,2,0,0,0,0,0,12,0,50, 1646
39,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,2,0,0,0,0,0,12,0,51, 1683
40,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,2,0,0,0,0,0,12,0,52, 1720
41,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,2,0,0,0,0,0,12,0,53, 1757
42,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,2,0,0,0,0,0,12,0,54, 1794
43,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,2,0,0,0,0,0,12,0,55, 1831
44,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,2,0,0,0,0,0,12,0,56, 1868
45,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,2,0,0,0,0,0,12,0,50, 1646
46,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,2,0,0,0,0,0,12,0,57, 1905
47,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,2,0,0,0,0,0,12,0,58, 1942
48,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,2,0,0,0,0,0,12,0,59, 1979
49,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,2,0,0,0,0,0,12,0,60, 2016
50,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,2,0,0,0,0,0,12,0,61, 2053
51,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,2,0,0,0,0,0,12,0,62, 2090
52,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,2,0,0,0,0,0,12,0,63, 2127
53,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,2,0,0,0,0,0,12,0,33, 1017
54,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,2,0,0,0,0,0,12,0,64, 2164
55,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,2,0,0,0,0,0,12,0,65, 2201
56,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,2,0,0,0,0,0,12,0,66, 2238
57,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,2,0,0,0,0,0,12,0,67, 2275
58,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,2,0,0,0,0,0,12,0,68, 2312
59,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,2,0,0,0,0,0,12,0,69, 2349
60,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,2,0,0,0,0,0,12,0,70, 2386
61,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,2,0,0,0,0,0,12,0,71, 2423
